Ingreso,"Título","Jurisdicción","Departamento"
2024/02/13,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/03/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/04/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","MONTEVIDEO"
2024/03/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MONTEVIDEO"
2024/09/16,"ASOCIADO A VD","COMISARÍA 13","MONTEVIDEO"
2024/11/06,"ASOCIADO A VD","COMISARÍA 1","FLORES"
2024/05/02,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CANELONES"
2024/03/13,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","RÍO NEGRO"
2024/03/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/01/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CANELONES"
2024/02/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","MONTEVIDEO"
2024/02/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/07/24,"ASOCIADO A VD","COMISARÍA 7","TACUAREMBÓ"
2024/08/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","PAYSANDÚ"
2024/02/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/10/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/03/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/02/13,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/10/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/02/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","ROCHA"
2024/04/02,"ASOCIADO A VD","COMISARÍA 8","MONTEVIDEO"
2024/01/23,"ASOCIADO A VD","COMISARÍA 16","CERRO LARGO"
2024/04/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/01/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/03/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","TREINTA Y TRES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/06/10,"ASOCIADO A VD","COMISARÍA 21","CANELONES"
2024/01/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/05/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/01/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","TACUAREMBÓ"
2024/04/11,"ASOCIADO A VD","COMISARÍA 1","SORIANO"
2024/01/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","FLORIDA"
2024/02/12,"ASOCIADO A VD","COMISARÍA 10","SAN JOSÉ"
2024/03/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/03/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","CANELONES"
2024/01/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/09/03,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","MONTEVIDEO"
2024/05/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CERRO LARGO"
2024/06/01,"ASOCIADO A VD","COMISARÍA 1","DURAZNO"
2024/05/25,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","TACUAREMBÓ"
2024/10/02,"ASOCIADO A VD","COMISARÍA 24","MONTEVIDEO"
2024/06/17,"ASOCIADO A VD","COMISARÍA 21","MONTEVIDEO"
2024/02/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/06/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/07/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SORIANO"
