Ingreso,"Título","Jurisdicción","Departamento"
2024/06/19,"ASOCIADO A VD","COMISARÍA 8","COLONIA"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","ROCHA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORIDA"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SAN JOSÉ"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","CANELONES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","FLORIDA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","ROCHA"
2024/06/19,"ASOCIADO A VD","COMISARÍA 19","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/06/19,"ASOCIADO A VD","COMISARÍA 17","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SALTO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/20,"ASOCIADO A VD","COMISARÍA 4","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SAN JOSÉ"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MALDONADO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","COLONIA"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CERRO LARGO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/06/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","LAVALLEJA"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","CANELONES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SAN JOSÉ"
2024/06/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SAN JOSÉ"
2024/06/19,"ASOCIADO A VD","COMISARÍA 12","LAVALLEJA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","CANELONES"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SORIANO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","MONTEVIDEO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","RÍO NEGRO"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/07/04,"ASOCIADO A VD","COMISARÍA 12","LAVALLEJA"
2024/06/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","MONTEVIDEO"
2024/06/20,"ASOCIADO A VD","COMISARÍA 24","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORIDA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","RÍO NEGRO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RIVERA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","ARTIGAS"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","CANELONES"
2024/06/20,"ASOCIADO A VD","COMISARÍA 22","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/06/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","ROCHA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","DURAZNO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","ARTIGAS"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","PAYSANDÚ"
2024/06/20,"ASOCIADO A VD","COMISARÍA 6","TACUAREMBÓ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/07/05,"ASOCIADO A VD","COMISARÍA 12","LAVALLEJA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","SAN JOSÉ"
2024/06/20,"ASOCIADO A VD","COMISARÍA 2","TACUAREMBÓ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","MONTEVIDEO"
2024/06/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/06/20,"ASOCIADO A VD","COMISARÍA 10","SAN JOSÉ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/07/19,"ASOCIADO A VD","COMISARÍA 19","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","LAVALLEJA"
2024/11/13,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","CERRO LARGO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/06/20,"ASOCIADO A VD","COMISARÍA 3","TACUAREMBÓ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RIVERA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CERRO LARGO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","CERRO LARGO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","DURAZNO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","DURAZNO"
2024/07/04,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CERRO LARGO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/20,"ASOCIADO A VD","COMISARÍA 2","TACUAREMBÓ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SORIANO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","LAVALLEJA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","RIVERA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","ARTIGAS"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","CERRO LARGO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/06/21,"ASOCIADO A VD","COMISARÍA 8","LAVALLEJA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/06/25,"ASOCIADO A VD","COMISARÍA 7","FLORIDA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","COLONIA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","ROCHA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","TACUAREMBÓ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/06/25,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","FLORIDA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SAN JOSÉ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","LAVALLEJA"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MALDONADO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CERRO LARGO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/06/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","TACUAREMBÓ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/06/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","DURAZNO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","COLONIA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","PAYSANDÚ"
2024/06/21,"ASOCIADO A VD","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","CERRO LARGO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","ARTIGAS"
2024/06/21,"ASOCIADO A VD","COMISARÍA 15","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","TACUAREMBÓ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","ROCHA"
2024/06/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SORIANO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","ROCHA"
2024/06/21,"ASOCIADO A VD","COMISARÍA 15","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/06/28,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SORIANO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SAN JOSÉ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","CERRO LARGO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","DURAZNO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 30","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","SALTO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 28","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","ROCHA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","DURAZNO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SAN JOSÉ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 29","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","COLONIA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MALDONADO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORIDA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/06/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","FLORIDA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","DURAZNO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","LAVALLEJA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","PAYSANDÚ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/06/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","DURAZNO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","SAN JOSÉ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","PAYSANDÚ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","TACUAREMBÓ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SALTO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","RÍO NEGRO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SAN JOSÉ"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","DURAZNO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","COLONIA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","CANELONES"
2024/06/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/06/21,"ASOCIADO A VD","COMISARÍA 3","RIVERA"
2024/06/22,"ASOCIADO A VD","COMISARÍA 13","MONTEVIDEO"
2024/06/22,"ASOCIADO A VD","COMISARÍA 9","FLORES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","TACUAREMBÓ"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","SAN JOSÉ"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","RÍO NEGRO"
2024/06/22,"ASOCIADO A VD","COMISARÍA 2","ARTIGAS"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/06/22,"ASOCIADO A VD","COMISARÍA 1","LAVALLEJA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/06/22,"ASOCIADO A VD","COMISARÍA 14","LAVALLEJA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","FLORES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/06/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","TACUAREMBÓ"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","RIVERA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","CERRO LARGO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORIDA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/06/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CANELONES"
2024/06/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SALTO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","LAVALLEJA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/06/22,"ASOCIADO A VD","COMISARÍA 9","TREINTA Y TRES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/06/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","COLONIA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","COLONIA"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SORIANO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/06/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","ARTIGAS"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","LAVALLEJA"
